,INVESTING (manual),,,,,,,EDGAR (nuevos calculos),,,,,,,,COMPARACION % (EDGAR-Investing),,,,,,,CALIDAD,,
Ticket,PER,EPS,Crec.EPS,Margen,ROE,Payout,,PER,EPS_anual,EPS_TTM,Crec.EPS,Margen,ROE,Payout,,PER,EPS(anual),Crec.EPS,Margen,ROE,Payout,,TTM_estrategia,stale,flags
BSBR,"7,72","3,42","-1,02%","28,16%","10,47%","56,01%",,,,,,,,,,,,,,,,,,,
T,"7,49","3,05","48,05%","16,94%","18,37%","37,73%",,"7,33","3,04","3,05",,"16,94%",,"37,73%",,"-2,07%","-0,33%",,"-0,01%",,"+0,00%",,B,,
OGZPY,,,,,,,,,,,,,,,,,,,,,,,,,
PEP,"22,51","6,00","3,22%","9,15%","43,88%","88,42%",,"22,34","6,00","6,37","3,22%","9,15%","43,92%","88,42%",,"-0,78%","+0,00%","+0,09%","-0,01%","+0,08%","+0,00%",,B,,
XOM,"22,97","6,70","4,98%","7,76%","9,87%","68,07%",,"23,90","6,70","5,73",,"7,57%","9,79%","68,07%",,"+4,04%","+0,00%",,"-2,40%","-0,80%","-0,01%",,B,,
PFE,"18,40","1,36","2,88%","11,83%","8,31%","130,54%",,"18,39","1,36","1,31","-3,56%","11,83%","8,30%",,,"-0,04%","+0,00%","-223,51%","+0,01%","-0,08%",,,B,,
AXP,"21,37","15,38","32,47%","16,31%","34,42%","20,90%",,"20,94","15,38","16,36","32,47%","26,59%","34,42%","20,90%",,"-1,99%","+0,00%","+0,01%","+63,03%","-0,00%","+0,00%",,B,,
MMC,,,,,,,,,,,,,,,,,,,,,,,,,
PCAR,"24,99","4,51","12,52%","8,91%","13,11%","57,73%",,"24,93","4,51","4,69","12,52%","8,91%","13,11%","57,73%",,"-0,25%","+0,00%","+0,04%","+0,03%","-0,02%","+0,01%",,B,,
ORAN,,,,,,,,,,,,,,,,,,,,,,,,,
AEG,"12,56","0,59","12,69%","8,01%","10,42%","67,86%",,,,,,,,,,,,,,,,,,,
ORCL,"26,26","5,83","5,08%","25,37%","53,38%","33,87%",,"26,87","5,83","5,86","5,08%","25,37%","54,28%","33,87%",,"+2,30%","+0,00%","+0,05%","-0,01%","+1,69%","-0,01%",,C,,ebitda_da_mas_intangibles;ni_es_fy_no_ttm
GSK,"13,78","1,39","2,80%","17,78%","40,91%","44,52%",,,,,,,,,,,,,,,,,,,
CBD,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,"23,22","11,14","20,51%","15,61%","35,77%","58,42%",,"23,28","11,17","11,29","12,39%","15,61%","35,93%","58,42%",,"+0,27%","+0,27%","-39,61%","-0,03%","+0,46%","-0,01%",,B,,ebitda_da_mas_intangibles
YY,,,,,,,,,,,,,,,,,,,,,,,,,
WB,"5,50","1,70","4,27%","21,15%","10,44%","43,57%",,"4,36","1,70","1,67","4,26%","39,04%","12,13%","43,57%",,"-20,72%","+0,00%","-0,26%","+84,60%","+16,19%","+0,00%",,C,,ni_es_fy_no_ttm
SID,"-3,35","-1,51","-11,29%","-4,49%","-8,27%","-34,78%",,,,,,,,,,,,,,,,,C,SI,stale_2009-12-31
CAT,"49,17","18,81","28,07%","13,33%","51,33%","29,46%",,"49,14","18,81","20,24","28,07%","13,32%",,"29,47%",,"-0,07%","+0,00%","-0,01%","-0,05%",,"+0,03%",,B,,
KO,"25,44","3,04","11,17%","27,80%","43,37%","80,07%",,"25,38","3,04","3,18","11,17%","27,80%","45,80%","80,07%",,"-0,24%","+0,00%","+0,04%","+0,00%","+5,59%","+0,01%",,B,,
XRX,"-0,38","-8,25","57,92%","-14,09%","-115,36%","-4,02%",,,"-8,25","-8,29",,"-14,09%","-154,44%",,,,"-0,00%",,"-0,02%","+33,87%",,,B,,
HMC,"-13,16","-106,06","-3,53%","-1,94%","-2,85%","57,34%",,,,,,,,,,,,,,,,,,,
SIEGY,"27,90","9,52","14,32%","9,69%","12,59%","53,94%",,,,,,,,,,,,,,,,,,,
USB,"12,58","4,62","8,59%","29,29%","12,35%","45,18%",,"11,97","4,62","5,02","8,59%","26,93%","12,40%","40,96%",,"-4,82%","+0,00%","-0,02%","-8,06%","+0,42%","-9,35%",,B,,
