Investing,P/E RatioTTM,Diluted EPSANN,5 Year EPS Growth5YA,Net Profit marginTTM,Return on EquityTTM,Payout RatioTTM,,EDGAR,,,,,,,,Comparacion,,,,,,
Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout
SNA,"20,34","19,19","10,90%","19,60%","18,20%","46,59%",,SNA,"20,19","19,19","10,90%","19,60%","17,83%","46,59%",,SNA,"-0,72%","+0,00%","-0,00%","+0,00%","-2,03%","-0,00%"
CL,36,"2,63","-3,48%","10,04%","363,58%","87,84%",,CL,"35,43","2,63","-3,48%","10,04%","822,05%",,,CL,"-1,59%","+0,00%","+0,08%","+0,01%","+126,10%",
ELP,Joaquin,,,,,,,,,,,,,,,ELP,,,,,,
HPQ,"8,62","2,65","5,79%","4,45%","-359,58%","42,81%",,HPQ,"8,47","2,65","6,00%","4,45%",,"42,81%",,HPQ,"-1,79%","+0,00%","+3,67%","-0,08%",,"+0,01%"
KMB,"20,8","4,86","-6,69%","12,80%","111,73%","78,95%",,KMB,"16,78","6,07","-2,45%","12,80%","146,29%","78,95%",,KMB,"-19,31%","+24,90%","-63,44%","-0,01%","+30,93%","+0,00%"
TX,"15,66","2,17","-11,39%","3,66%","3,23%","92,78%",,TX,,,,,,,,TX,,,,,,
MBT,,,,,,,,,,,,,,,,MBT,,,,,,
WMT,"42,1","2,73","11,51%","3,13%","24,13%","33,42%",,WMT,"41,87","2,73","-10,49%","3,13%","25,53%","33,42%",,WMT,"-0,55%","+0,00%","-191,10%","+0,15%","+5,80%","+0,01%"
HD,"24,14","14,23","3,57%","8,41%","128,38%","65,56%",,HD,"24,37","14,23","3,57%","8,41%","128,38%","65,56%",,HD,"+0,96%","+0,00%","+0,04%","+0,01%","-0,00%","-0,00%"
PTR,Joaquin,,,,,,,,,,,,,,,PTR,,,,,,
AVY,Joaquin,,,,,,,AVY,"18,21","8,79","5,87%","7,66%","30,86%","42,23%",,AVY,,,,,,
TGT,"18,31","8,13","-1,21%","3,24%","22,02%","59,68%",,TGT,"18,65","8,13","-1,21%","3,24%","22,02%","59,66%",,TGT,"+1,85%","+0,00%","-0,04%","+0,13%","+0,01%","-0,03%"
NVS,"21,86","7,15","15,23%","23,92%","34,93%","64,15%",,NVS,,,,,,,,NVS,,,,,,
SAP,"21,61","6,1",7%,"19,58%","16,35%","37,51%",,SAP,,,,,,,,SAP,,,,,,
PKX,"-20,94",0,-,"45,959,440%","-5,37%",-,RARO ESTE,,,,,,,,,PKX,,,,,,
MMM,"32,32","32,32","-8,51%","11,14%","71,46%","56,62%",,MMM,"31,72","6,00","-8,51%","11,14%","72,14%","56,62%",,MMM,"-1,86%","-81,44%","-0,00%","-0,02%","+0,95%","+0,00%"
UN,Joaquin,,,,,,,,,,,,,,,UN,,,,,,
KOF,"16,73","113,51","18,26%","7,88%","15,82%","66,54%",,KOF,,,,,,,,KOF,,,,,,
AMGN,"24,5","14,23","14,23","20,96%","101,32%","66,71%",,AMGN,"24,51","14,23","2,94%","20,96%","101,32%","66,71%",,AMGN,"+0,04%","+0,00%","-79,33%","-0,02%","-0,00%","-0,01%"
BG,"28,42","4,93","-8,57%","0,85%","4,93%","73,79%",,BG,"31,23","4,91",,"0,85%","5,13%","73,79%",,BG,"+9,90%","-0,41%",,"-0,24%","+4,08%","+0,00%"
