ticker,empresa,sector,tipo,precio,precio_52w_max,precio_52w_min,dif_max_52w,dif_min_52w,volumen,market_cap,dividend_yield
RH,RH,Furniture,CEDEAR,146.71,257.0,106.3,-42.91439688715953,38.015051740357485,734075.0,2772961024.0,
ZM,Zoom,Technology,CEDEAR,84.34,114.74,69.15,-26.494683632560566,21.96673897324657,5254465.0,24731205632.0,
DOCU,DocuSign,Technology,CEDEAR,42.71,86.65,40.16,-50.709751875360645,6.34960159362552,4952835.0,8155244032.0,
PAYC,Paycom,Technology,CEDEAR,123.67,248.95,104.9,-50.323358104036956,17.8932316491897,1327151.0,5766372864.0,1.21
PAYX,Paychex,Technology,CEDEAR,95.93,152.57,85.45,-37.12394310808153,12.264482153306023,4444627.0,34370842624.0,4.96
ADP,Automatic Data,Technology,CEDEAR,214.6,315.98,188.16,-32.08430913348946,14.051870748299322,2335165.0,85782978560.0,3.17
FISV,Fiserv,Technology,CEDEAR,47.18,177.36,47.04,-73.39873703202527,0.29761904761904656,7154358.0,25158922240.0,
FIS,Fidelity National,Technology,CEDEAR,37.72,82.74,37.42,-54.41140923374426,0.8017103153393768,4254661.0,19496681472.0,4.45
INTU,Intuit,Technology,CEDEAR,257.77,813.7,252.84,-68.32124861742656,1.9498497073247911,6329203.0,70509625344.0,1.86
PYPL,PayPal,Financials,CEDEAR,42.34,79.5,38.46,-46.742138364779876,10.088403536141444,13081529.0,37348343808.0,1.32
SQ,Square,Financials,CEDEAR,,,,,,,,
COIN,Coinbase,Crypto,CEDEAR,164.84,444.65,139.36,-62.92814573259867,18.28358208955223,8460156.0,43428872192.0,
RIOT,Riot Platforms,Crypto,CEDEAR,28.63,30.32,9.36,-5.573878627968343,205.8760683760684,15575191.0,10826469376.0,
MARA,Marathon Digital,Crypto,CEDEAR,14.85,23.45,6.66,-36.67377398720683,122.97297297297298,66765580.0,5661867008.0,
MSTR,Microstrategy,Technology,CEDEAR,109.46,457.22,104.17,-76.0596649315428,5.0782374964001065,23640399.0,39161339904.0,
SOFI,SoFi,Financials,CEDEAR,17.1,32.73,14.92,-47.75435380384967,14.611260053619324,73983573.0,21934876672.0,
UPST,Upstart,Technology,CEDEAR,31.32,87.3,23.965,-64.12371134020619,30.69059044439808,3250973.0,2997686272.0,
RBLX,Roblox,Gaming,CEDEAR,47.27,150.59,40.15,-68.61013347499834,17.733499377335015,21730543.0,33844316160.0,
ASRT,Assertio,Healthcare,CEDEAR,23.5,23.5,8.61,0.0,172.938443670151,270191.0,151861232.0,
WDAY,Workday,Technology,CEDEAR,113.04,249.85,110.36,-54.75685411246748,2.4284160927872556,6469051.0,27917881344.0,
OKTA,Okta,Technology,CEDEAR,115.94,142.35,62.66,-18.552862662451698,85.03032237472073,3551024.0,20151226368.0,
CRWD,CrowdStrike,Technology,CEDEAR,675.44,785.66,342.72,-14.028969274240755,97.08216619981327,3380635.0,171943264256.0,
NET,Cloudflare,Technology,CEDEAR,218.38,276.815,158.83,-21.109766450517498,37.49291695523513,2854428.0,77511704576.0,
FASN,Fastenmaster,Industrials,CEDEAR,,,,,,,,
BBAR_US,Banco BBVA Argentina,Financials,ADR,,,,,,,,
BMA_US,Banco Macro,Financials,ADR,,,,,,,,
CAAP_US,Corporación América Airports,Transportation,ADR,,,,,,,,
CEPU_US,Central Puerto,Utilities,ADR,,,,,,,,
CRESY_US,Cresud,Agriculture,ADR,,,,,,,,
EDN_US,Edenor,Utilities,ADR,,,,,,,,
GGAL_US,Grupo Financiero Galicia,Financials,ADR,,,,,,,,
GLOB_US,Globant,Technology,ADR,,,,,,,,
IRS_US,IRSA,Real Estate,ADR,,,,,,,,
LOMA_US,Loma Negra,Materials,ADR,,,,,,,,
MELI_US,MercadoLibre,E-commerce,ADR,,,,,,,,
PAM_US,Pampa Energía,Utilities,ADR,,,,,,,,
SUPV_US,Grupo Supervielle,Financials,ADR,,,,,,,,
TEO_US,Telecom Argentina,Telecommunications,ADR,,,,,,,,
TGS_US,Transportadora Gas Sur,Energy,ADR,,,,,,,,
TS_US,Tenaris,Materials,ADR,,,,,,,,
TX_US,Ternium Argentina,Materials,ADR,,,,,,,,
YPF_US,YPF,Energy,ADR,,,,,,,,
