ticker,empresa,sector,tipo,precio,market_cap,precio_52w_max,precio_52w_min,pe,p_book,deuda_equity,deuda_ebitda,margen_neto,roe,op_margin,ebitda_margin,fcf,fcf_yield,payout_ratio,current_ratio,eps_cagr_5y,revenue,net_income,ebitda,equity,liabilities
INTU,Intuit,Technology,CEDEAR,257.77,70509625344.0,813.7,252.84,,,,,,,,,7888000000.0,0.11187125107410924,1.86,,,20924999680.0,,,,
PYPL,PayPal,Financials,CEDEAR,42.34,37348343808.0,79.5,38.46,,,,,,,,,6390000128.0,0.17109192741851287,1.32,,,33734000640.0,,,,
SQ,Square,Financials,CEDEAR,,,,,,,,,,,,,,,,,,,,,,
COIN,Coinbase,Crypto,CEDEAR,164.84,43428872192.0,444.65,139.36,,,,,,,,,1756433024.0,0.04044390138050951,,,,6285964800.0,,,,
RIOT,Riot Platforms,Crypto,CEDEAR,28.63,10826469376.0,30.32,9.36,,,,,,,,,-633518976.0,,,,,653267008.0,,,,
MARA,Marathon Digital,Crypto,CEDEAR,14.85,5661867008.0,23.45,6.66,,,,,,,,,-834726016.0,,,,,867822976.0,,,,
MSTR,Microstrategy,Technology,CEDEAR,109.46,39161339904.0,457.22,104.17,,,,,,,,,-50863000.0,,,,,490467008.0,,,,
SOFI,SoFi,Financials,CEDEAR,17.1,21934876672.0,32.73,14.92,,,,,,,,,-6078953984.0,,,,,3908427008.0,,,,
UPST,Upstart,Technology,CEDEAR,31.32,2997686272.0,87.3,23.965,,,,,,,,,-267536000.0,,,,,1173714048.0,,,,
RBLX,Roblox,Gaming,CEDEAR,47.27,33844316160.0,150.59,40.15,,,,,,,,,1981357952.0,0.05854329993352715,,,,5297550848.0,,,,
ASRT,Assertio,Healthcare,CEDEAR,23.5,151861232.0,23.5,8.61,,,,,,,,,-7081000.0,,,,,102158000.0,,,,
WDAY,Workday,Technology,CEDEAR,113.04,27917881344.0,249.85,110.36,,,,,,,,,3177999872.0,0.11383384837986651,,,,9854000128.0,,,,
OKTA,Okta,Technology,CEDEAR,115.94,20151226368.0,142.35,62.66,,,,,,,,,920000000.0,0.045654789599354276,,,,2996000000.0,,,,
CRWD,CrowdStrike,Technology,CEDEAR,675.44,171943264256.0,785.66,342.72,,,,,,,,,1819179008.0,0.01058011208448091,,,,5094199808.0,,,,
NET,Cloudflare,Technology,CEDEAR,218.38,77511704576.0,276.815,158.83,,,,,,,,,615660032.0,0.007942800837212232,,,,2328604928.0,,,,
FASN,Fastenmaster,Industrials,CEDEAR,,,,,,,,,,,,,,,,,,,,,,
BBAR_US,Banco BBVA Argentina,Financials,ADR,,,,,,,,,,,,,,,,,,,,,,
